Realisation number,Variable,index,Lag-2 AC,Smax,Lag-10 AC,Lag-1 AC,Standard deviation,Coefficient of variation,Variance,Skewness,Kurtosis
26,Brachionus,0,-0.7337437840397821,0.761904761904762,-0.6658299786881364,-0.488988870471229,0.8714657826189913,0.7960691451574711,0.8714657826189913,0.5227089746625622,-0.724461283447786
27,Chlorella,0,-0.7313757991948853,0.9238095238095239,0.5337911437366801,-0.722093298602889,0.8115084063461995,0.7620648827847503,0.8115084063461995,-0.21894387875917595,0.22690030783802984
27,Brachionus,0,-0.4922093298602889,0.33333333333333337,0.7215249822401137,-0.5046175704475492,0.38754439971584187,0.15766043097324178,0.38754439971584187,0.7064645986265689,-0.06597205777883022
28,Chlorella,0,-0.7562869997632016,0.7428571428571429,-0.6523798247691215,-0.7569500355197727,0.8237272081458679,0.7693582761070329,0.8237272081458679,0.09722945773147053,0.16249112005683164
28,Brachionus,0,-0.20037887757518352,0.3047619047619048,-0.4972294577314705,-0.5363485673691689,-0.02533743784039782,-0.40667771726260954,-0.02533743784039782,0.11532086194648355,-0.0903149419843713
29,Chlorella,0,-0.7399005446365143,0.8666666666666668,-0.7142315889178309,-0.615818138763912,0.853658536585366,0.8113189675586077,0.853658536585366,0.552829741889652,0.15879706369879235
29,Brachionus,0,-0.6419606914515747,-0.26666666666666666,-0.6832583471465783,-0.49050438077196307,0.16694293156523798,-0.1454416291735733,0.16694293156523798,-0.8318730760123136,0.751929907648591
30,Chlorella,0,-0.5895808666824532,0.6,0.15993369642434288,-0.568458441865972,0.7162206961875445,0.6045465309022023,0.7162206961875445,0.20151551030073409,0.2517167890125503
30,Brachionus,0,-0.34331044281316603,-0.1904761904761905,0.21155576604309734,-0.2891309495619228,-0.058962822637935126,-0.3049490883258347,-0.058962822637935126,0.10026047833293868,0.3894387875917594
31,Chlorella,0,-0.7618754439971585,0.8095238095238096,-0.6406346199384324,-0.7206725076959508,0.715747099218565,0.6398768647880654,0.715747099218565,0.09959744257636752,0.3106322519535875
